ID,SL202228,SL202241,SL202258,SL202263,SL202240,SL202254,SL202237,SL202231,SL202261,SL202217,SL202219,SL202230,SL202244,SL202246,SL202265,SL202255,SL202256,SL202239,SL202260,SL202226,SL202249,SL202214,SL202245,SL203020,SL203021,SL202998,SL202995,SL203013,SL203017,SL203001,SL203011,SL203003,SL203027,SL203022,SL203007,SL203016,SL203019,SL203024,SL203014,SL202985,SL203015,SL203026
ENSG00000000003,58.0567435,121.4096441,228.1382254,202.4250977,364.9838397,101.2162298,224.4774015,67.14007097,110.5772069,88.87863298,111.5323796,23.77996944,94.83234631,14.9022722,69.89042934,189.7018864,101.3031023,87.6663985,94.72415474,145.0052365,10.16612996,31.23271282,83.06191295,90.70130618,85.15754639,13.65567653,37.21247031,91.19231786,70.21394874,99.32085147,144.8175681,9.674007574,24.75042897,89.87080764,35.1196731,157.7176513,125.5770666,132.1266386,94.12208897,84.23067027,149.1205739,215.0211885
ENSG00000000005,0.734895487,1.339076957,4.207467271,0.826224888,13.01190159,1.058009371,1.173226837,0,0.525307396,9.875403664,13.94154745,0,0.589020785,0,0,0.313816189,0.65568351,0.580572176,0.30360306,6.105483641,0,7.808178205,0,0,2.606863665,13.65567653,0,0.925810334,0.826046456,2.207130033,0.768262961,0,1.375023832,0.845180009,35.1196731,0.202721917,1.793958094,6.488361717,0.674710315,6.738453622,0.949812572,1.193457106
ENSG00000000419,69.08017581,74.98830958,74.33192179,86.54705707,52.04760637,118.8497193,55.53273697,41.03004337,137.2365573,118.504844,27.88309491,83.22989304,84.22997219,14.9022722,9.984347048,115.3274496,161.2981435,57.47664538,153.0159423,67.16032005,16.94354994,54.65724743,61.43632615,151.1688436,86.8954555,126.3150079,18.60623515,131.4650674,75.5832507,37.52121055,87.96610898,145.1101136,37.12564346,96.35052105,35.1196731,114.9433269,97.95011194,169.8771068,96.48357508,53.90762898,120.6261967,190.3564084
ENSG00000000457,259.418107,103.5552847,269.2779053,316.2375761,229.009468,91.69414545,209.2254527,171.5801814,181.8876859,158.0064586,264.8894016,83.22989304,167.2819028,59.60908879,84.86694991,175.5801579,147.8566316,141.6596108,75.44536042,146.5316074,42.35887484,195.2044551,153.3450701,232.8000192,94.71604649,109.2454123,111.6374109,184.9306141,187.9255687,180.9846627,135.2142811,106.4140833,123.7521449,171.2898152,122.9188558,82.30509826,122.347942,239.4795325,84.00143425,112.8690982,273.0711146,282.053696
ENSG00000000460,198.4217816,97.75261785,220.1907872,211.7201277,119.7094946,99.80555063,215.0915868,123.0901301,241.904056,246.8850916,139.4154745,11.88998472,124.2833855,0,24.96086762,129.4491781,183.5913829,97.53612549,44.4778483,125.1624146,28.80403489,15.61635641,96.82365001,145.1220899,97.32291016,126.3150079,74.42494062,204.8355363,61.54046095,101.5279815,88.35024046,96.74007574,53.62592944,101.9850544,52.67950965,54.32947373,94.00340413,88.47765978,54.98889069,106.1306445,189.0127019,217.0102837
ENSG00000000938,54.38226606,32.58420595,14.95988363,7.229467774,16.26487699,21.16018741,26.20206603,7.460007886,15.36524134,88.87863298,13.94154745,142.6798166,25.62240413,29.8045444,29.95304114,16.00462565,23.27676462,73.15209411,39.46839781,47.31749822,237.2096991,23.42453461,16.2191901,54.42078371,76.46800084,139.9706845,0,26.15414192,38.41116019,55.17825081,37.64488507,9.674007574,163.627836,77.75656084,158.0385289,29.39467795,46.28411883,16.51582983,34.74758123,69.06914962,37.04269033,20.08986128
ENSG00000000971,69.08017581,94.62810495,52.12584452,35.73422643,59.85474732,56.77983622,68.04715657,37.30003943,109.2639384,148.131055,125.4739271,107.0098625,156.6795287,14.9022722,29.95304114,55.85928169,38.68532711,182.8802353,238.9356083,103.7932219,60.99677978,85.88996025,67.82570407,105.8181905,369.3056859,317.4944794,223.2748219,177.2926789,216.4241714,203.055963,160.5669588,96.74007574,103.1267874,215.2391757,386.3164041,206.1681895,265.8645896,25.95344687,302.2702212,139.8229127,62.2127235,59.27503625
ENSG00000001036,128.6067103,116.4996952,61.24202361,73.12090263,61.15593748,94.51550378,120.4512886,78.3300828,97.57584885,79.00322931,69.70773727,142.6798166,57.72403688,178.8272664,124.8043381,197.5472912,141.6276382,64.44351148,127.9686898,178.5853965,138.9371095,15.61635641,110.8311324,54.42078371,79.94381906,119.4871697,55.81870546,167.5716704,83.84371526,141.2563221,209.7357882,96.74007574,52.25090561,57.75396729,52.67950965,90.0085311,109.0726521,50.13734054,146.4121384,99.39219092,65.5370675,92.69183521
ENSG00000001084,146.244202,135.2467726,110.0953936,273.4804381,310.333853,167.1654806,235.8185943,74.60007886,161.0067169,207.3834769,167.2985694,154.5698014,136.9473324,119.2181776,289.5460644,303.6171631,159.6589348,114.3727186,288.119304,103.7932219,115.2161396,218.6289897,143.5152579,250.9402804,213.7628205,68.27838267,74.42494062,265.9390183,170.1655699,185.3989227,245.8441474,116.0880909,215.8787416,167.0639151,87.79918275,161.1639239,179.0370178,178.1350217,201.7383843,160.0382735,170.0164505,137.0486576
ENSG00000001167,333.6425513,237.4629803,671.3247779,279.6771247,521.1266588,318.4608206,1200.211055,126.8201341,255.824702,207.3834769,320.6555914,439.9294347,394.3494152,104.3159054,179.7182469,488.7687148,357.0196714,279.8357886,626.636716,528.1243349,84.71774969,452.8743359,384.5914017,281.1740492,232.0108662,238.9743393,279.0935273,454.1099686,194.1209171,275.8912541,241.6187011,116.0880909,280.5048617,333.564377,263.3975482,256.4432249,260.4827153,622.8827248,200.0516085,239.2151036,196.1362962,543.0229831
