"ID","Group"
"TCGA-AC-A2QH-01B-04R-A22O-07","Tumor"
"TCGA-AR-A0TS-01A-11R-A115-07","Tumor"
"TCGA-E2-A1LH-01A-11R-A14D-07","Tumor"
"TCGA-AC-A2QH-01A-11R-A18M-07","Tumor"
"TCGA-E2-A1L7-01A-11R-A144-07","Tumor"
"TCGA-C8-A12V-01A-11R-A115-07","Tumor"
"TCGA-EW-A1PH-01A-11R-A14M-07","Tumor"
"TCGA-A1-A0SK-01A-12R-A084-07","Tumor"
"TCGA-A2-A0T2-01A-11R-A084-07","Tumor"
"TCGA-BH-A1F6-01A-11R-A13Q-07","Tumor"
"TCGA-EW-A6SB-01A-12R-A32P-07","Tumor"
"TCGA-AR-A0U4-01A-11R-A109-07","Tumor"
"TCGA-LL-A441-01A-11R-A24H-07","Tumor"
"TCGA-BH-A18V-01A-11R-A12D-07","Tumor"
"TCGA-GI-A2C8-11A-22R-A16F-07","Normal"
"TCGA-BH-A0BW-11A-12R-A115-07","Normal"
"TCGA-BH-A1FE-11B-14R-A13Q-07","Normal"
"TCGA-BH-A1FB-11A-33R-A13Q-07","Normal"
"TCGA-E9-A1NF-11A-73R-A14D-07","Normal"
"TCGA-BH-A1F8-11B-21R-A13Q-07","Normal"
"TCGA-BH-A209-11A-42R-A157-07","Normal"
"TCGA-E9-A1RI-11A-41R-A169-07","Normal"
"TCGA-BH-A1F6-11B-94R-A13Q-07","Normal"
"TCGA-A7-A0DC-11A-41R-A089-07","Normal"
"TCGA-BH-A18L-11A-42R-A12D-07","Normal"
"TCGA-BH-A1FD-11B-21R-A13Q-07","Normal"
"TCGA-BH-A0BM-11A-12R-A089-07","Normal"
"TCGA-AC-A2FF-11A-13R-A17B-07","Normal"
"TCGA-BH-A18N-11A-43R-A12D-07","Normal"
"TCGA-E2-A1IG-11A-22R-A144-07","Normal"
"TCGA-E9-A1N6-11A-32R-A144-07","Normal"
"TCGA-A7-A0CH-11A-32R-A089-07","Normal"
"TCGA-A7-A0CE-11A-21R-A089-07","Normal"
"TCGA-E9-A1N4-11A-33R-A14M-07","Normal"
"TCGA-BH-A18V-11A-52R-A12D-07","Normal"
"TCGA-E2-A153-11A-31R-A12D-07","Normal"
"TCGA-AC-A23H-11A-12R-A157-07","Normal"
"TCGA-E2-A15M-11A-22R-A12D-07","Normal"
"TCGA-A7-A13E-11A-61R-A12P-07","Normal"
"TCGA-E2-A1LS-11A-32R-A157-07","Normal"
"TCGA-BH-A0AY-11A-23R-A089-07","Normal"
"TCGA-BH-A0E1-11A-13R-A089-07","Normal"
"TCGA-E9-A1N9-11A-71R-A14D-07","Normal"
"TCGA-BH-A208-11A-51R-A157-07","Normal"
"TCGA-BH-A0C3-11A-23R-A12P-07","Normal"
"TCGA-BH-A18S-11A-43R-A12D-07","Normal"
"TCGA-BH-A1EO-11A-31R-A137-07","Normal"
"TCGA-BH-A0DQ-11A-12R-A089-07","Normal"
"TCGA-BH-A0DL-11A-13R-A115-07","Normal"
"TCGA-BH-A1EV-11A-24R-A137-07","Normal"
"TCGA-E9-A1N5-11A-41R-A14D-07","Normal"
"TCGA-BH-A1FR-11B-42R-A13Q-07","Normal"
"TCGA-BH-A0BA-11A-22R-A19E-07","Normal"
"TCGA-BH-A0H5-11A-62R-A115-07","Normal"
"TCGA-BH-A1FM-11B-23R-A13Q-07","Normal"
"TCGA-E9-A1RC-11A-33R-A157-07","Normal"
"TCGA-BH-A0DH-11A-31R-A089-07","Normal"
"TCGA-BH-A0DZ-11A-22R-A089-07","Normal"
"TCGA-E9-A1RB-11A-33R-A157-07","Normal"
"TCGA-BH-A0DV-11A-22R-A12P-07","Normal"
"TCGA-E9-A1RD-11A-33R-A157-07","Normal"
"TCGA-E9-A1RH-11A-34R-A169-07","Normal"
"TCGA-BH-A1FC-11A-32R-A13Q-07","Normal"
"TCGA-BH-A1ET-11B-23R-A137-07","Normal"
"TCGA-BH-A204-11A-53R-A157-07","Normal"
"TCGA-BH-A1F0-11B-23R-A137-07","Normal"
"TCGA-BH-A0BJ-11A-23R-A089-07","Normal"
"TCGA-E2-A1LH-11A-22R-A14D-07","Normal"
"TCGA-AC-A2FB-11A-13R-A17B-07","Normal"
"TCGA-A7-A13F-11A-42R-A12P-07","Normal"
"TCGA-BH-A0H7-11A-13R-A089-07","Normal"
"TCGA-BH-A0E0-11A-13R-A089-07","Normal"
"TCGA-BH-A18U-11A-23R-A12D-07","Normal"
"TCGA-BH-A0AZ-11A-22R-A12P-07","Normal"
"TCGA-A7-A0D9-11A-53R-A089-07","Normal"
"TCGA-E2-A15K-11A-13R-A12P-07","Normal"
"TCGA-BH-A0B3-11B-21R-A089-07","Normal"
"TCGA-GI-A2C9-11A-22R-A21T-07","Normal"
"TCGA-BH-A1EU-11A-23R-A137-07","Normal"
"TCGA-E9-A1NG-11A-52R-A14M-07","Normal"
"TCGA-BH-A0DO-11A-22R-A12D-07","Normal"
"TCGA-E2-A1BC-11A-32R-A12P-07","Normal"
"TCGA-BH-A0DD-11A-23R-A12P-07","Normal"
"TCGA-BH-A0B7-11A-34R-A115-07","Normal"
"TCGA-BH-A0BT-11A-21R-A12P-07","Normal"
"TCGA-BH-A18K-11A-13R-A12D-07","Normal"
"TCGA-BH-A1FH-11B-42R-A13Q-07","Normal"
"TCGA-BH-A18P-11A-43R-A12D-07","Normal"
"TCGA-BH-A18Q-11A-34R-A12D-07","Normal"
"TCGA-BH-A0AU-11A-11R-A12P-07","Normal"
"TCGA-BH-A0BC-11A-22R-A089-07","Normal"
"TCGA-BH-A0HK-11A-11R-A089-07","Normal"
"TCGA-A7-A0DB-11A-33R-A089-07","Normal"
"TCGA-BH-A18R-11A-42R-A12D-07","Normal"
"TCGA-BH-A0DK-11A-13R-A089-07","Normal"
"TCGA-E2-A158-11A-22R-A12D-07","Normal"
"TCGA-E9-A1RF-11A-32R-A157-07","Normal"
"TCGA-BH-A203-11A-42R-A169-07","Normal"
"TCGA-AC-A2FM-11B-32R-A19W-07","Normal"
"TCGA-BH-A18M-11A-33R-A12D-07","Normal"
"TCGA-BH-A1FJ-11B-42R-A13Q-07","Normal"
"TCGA-E9-A1ND-11A-43R-A144-07","Normal"
"TCGA-BH-A1FU-11A-23R-A14D-07","Normal"
"TCGA-BH-A18J-11A-31R-A12D-07","Normal"
"TCGA-BH-A0DG-11A-43R-A12P-07","Normal"
"TCGA-BH-A1FN-11A-34R-A13Q-07","Normal"
"TCGA-E9-A1R7-11A-42R-A14M-07","Normal"
"TCGA-BH-A0HA-11A-31R-A12P-07","Normal"
"TCGA-E9-A1NA-11A-33R-A144-07","Normal"
"TCGA-BH-A0B8-11A-41R-A089-07","Normal"
"TCGA-BH-A1FG-11B-12R-A13Q-07","Normal"
"TCGA-E2-A1L7-11A-33R-A144-07","Normal"
"TCGA-BH-A0C0-11A-21R-A089-07","Normal"
"TCGA-BH-A0BZ-11A-61R-A12P-07","Normal"
"TCGA-BH-A1EN-11A-23R-A13Q-07","Normal"
"TCGA-A7-A13G-11A-51R-A13Q-07","Normal"
"TCGA-BH-A0BS-11A-11R-A12P-07","Normal"
"TCGA-BH-A0H9-11A-22R-A466-07","Normal"
"TCGA-BH-A0BQ-11A-33R-A115-07","Normal"
"TCGA-BH-A0DP-11A-12R-A089-07","Normal"
"TCGA-BH-A0B5-11A-23R-A12P-07","Normal"
"TCGA-E2-A1LB-11A-22R-A144-07","Normal"
"TCGA-E2-A15I-11A-32R-A137-07","Normal"
"TCGA-BH-A0BV-11A-31R-A089-07","Normal"
"TCGA-BH-A0DT-11A-12R-A12D-07","Normal"
"TCGA-BH-A1EW-11B-33R-A137-07","Normal"
"TCGA-BH-A1F2-11A-32R-A13Q-07","Normal"
"AICK-011-12-2422-2","High"
"AICK-046-(13-006)","High"
"AICK-050-(13-551)","Low"
"AICK-066-(13-2538)","High"
"AICK-097-(14-2320)","High"
"AICK-126-1S-0642-3","High"
"AKU-008-AN","High"
"AKU-012-RW-2","Low"
"AKU-014-RW","High"
"AKU-017-RW","High"
"AKUH-018-PI","Low"
"AKUH-020-WN","High"
"AKUH-021-PB","Low"
"AKUH-022-PB","High"
"AKUH-024-SP","High"
"SL202228","High"
"SL202241","High"
"SL202258","Low"
"SL202263","Low"
"SL202240","Low"
"SL202254","Low"
"SL202237","High"
"SL202231","High"
"SL202261","High"
"SL202217","Low"
"SL202219","High"
"SL202230","High"
"SL202244","High"
"SL202246","High"
"SL202265","High"
"SL202255","High"
"SL202256","High"
"SL202239","High"
"SL202260","High"
"SL202226","High"
"SL202249","High"
"SL202214","High"
"SL202245","High"
"SL203020","Low"
"SL203021","High"
"SL202998","High"
"SL202995","High"
"SL203013","High"
"SL203017","High"
"SL203001","High"
"SL203011","High"
"SL203003","Low"
"SL203027","High"
"SL203022","High"
"SL203007","High"
"SL203016","High"
"SL203019","High"
"SL203024","Low"
"SL203014","High"
"SL202985","High"
"SL203015","High"
"SL203026","High"
